[2026-01-13 20:28:32] 192.168.100.65 -> 224.0.0.251 | Protocol: 17
[2026-01-13 20:28:32] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:32] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:32] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:32] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:32] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:32] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:32] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:32] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:32] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:32] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:32] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:32] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:32] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:32] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:32] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:32] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:32] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:32] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:32] 20.195.65.193 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:32] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:32] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:32] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:32] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:32] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:32] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:32] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:32] 192.168.100.67 -> 20.195.65.193 | Protocol: 6
[2026-01-13 20:28:32] 192.168.100.67 -> 20.190.146.34 | Protocol: 6
[2026-01-13 20:28:32] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
